doc_name,doc_data
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions de directeurs des domaines de wilayas.,2009-09-24
DÉCRETS PRÉSIDENTIELS n° — mettant fin aux fonctions de directeurs de la conservation foncière de wilayas.,2009-09-24
DÉCRETS PRÉSIDENTIELS n° — mettant fin aux fonctions de sous-directeurs au ministère de l'agriculture et du développement rural.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions du directeur des services agricoles à la wilaya de Jijel.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions du directeur de la petite et moyenne entreprise et de l'artisanat à la wilaya de Constantine.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un chargé d'études et de synthèse au ministère de l'intérieur et des collectivités locales.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination du directeur de la maintenance et des moyens au ministère des finances.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un inspecteur à l'inspection des services comptables au ministère des finances.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un chargé d'inspection à l'inspection des services comptables au ministère des finances.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un sous-directeur au ministère des finances.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un chargé d'inspection à l'inspection des services des domaines et de la conservation foncière.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un inspecteur à l'inspection générale des douanes.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un chargé d'inspection à l'inspection générale des douanes.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination du directeur régional des douanes à Tébessa.,2009-09-24
DÉCRETS PRÉSIDENTIELS n° — portant nomination de directeurs des domaines de wilayas.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination du directeur de la conservation foncière à la wilaya de Bordj Bou Arreridj.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination du directeur général de l'institut national de la protection des végétaux.,2009-09-24
DÉCRET PRÉSIDENTIEL n° — portant nomination du conservateur des forêts à la wilaya de Tissemsilt.,2009-09-24
DÉCRET PRÉSIDENTIEL n° 10-132 — portant transfert de crédits au budget de fonctionnement du ministère des affaires étrangères.,2010-05-04
DÉCRET EXÉCUTIF n° 10-133 — portant statut particulier des fonctionnaires appartenant aux corps spécifiques de l'enseignement supérieur.,2010-05-05
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions d'un chargé d'études et de recherche à l'institut national d'études de stratégie globale.,2010-04-18
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions d'un chef de département à l'institut national d'études de stratégie globale.,2010-04-18
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de chefs de daïras.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du secrétaire général auprès du chef de daïra de Sidi Marouf à la wilaya de Jijel.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de sous-directeurs au ministère de la justice.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de magistrats.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du directeur de la coopération internationale à l'office national de lutte contre la drogue et la toxicomanie.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions d'une sous-directrice à la direction générale du budget au ministère des finances.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du dire+cteur général de la régulation et de l'organisation des activités au ministère du commerce.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de directeurs des moudjahidine de wilayas.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du directeur général de l'institut de technologie des cultures industrielles et fourragères.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de directeurs de la petite et moyenne entreprise et de l'artisanat de wilayas.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de directeurs de l'emploi de wilayas.,2010-04-01
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions d'un délégué de l'emploi des jeunes à la wilaya de Aïn Defla.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination de sous-directeurs au ministère de la justice.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination à l'inspection générale des finances au ministère des finances.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination d'un inspecteur régional de l'inspection générale des finances à Tizi Ouzou.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination d'une directrice d'études chargée de la coopération au commissariat général à la planification et à la prospective.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination d'un chef d'études au ministère de l'industrie et de la promotion des investissements.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination de directeurs des moudjahidine de wilayas.,2010-04-01
"DÉCRET PRÉSIDENTIEL — portant nomination du directeur des finances et des moyens au ministère de la santé, de la population et de la réforme hospitalière.",2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination d'un sous-directeur au ministère de la petite et moyenne entreprise et de l'artisanat.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination de directeurs de la petite et moyenne entreprise et de l'artisanat de wilayas.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination d'une sous-directrice au ministère de la poste et des technologies de l'information et de la communication.,2010-04-01
DÉCRET PRÉSIDENTIEL — portant nomination de directeurs de l'emploi de wilayas.,2010-04-01
"DECRET PRESIDENTIEL n° 12-415 — portant ratification de la Charte africaine sur les valeurs et les principes du service public et de l'administration, adoptée à Addis-Abeba, le 31 janvier 2011.",2012-12-11
"DECRET PRESIDENTIEL n° 12-416 — portant ratification du mémorandum d'entente entre le Gouvernement de la République algérienne démocratique et populaire et le Gouvernement de la République tunisienne dans les domaines de la maîtrise de l'énergie et des énergies renouvelables, signé à Alger le 2 juillet 2009.",2012-12-11
"DECRET PRESIDENTIEL n° 12-417 — portant ratification de l'accord de coopération économique entre le Gouvernement de la République algérienne démocratique et populaire et le Gouvernement de la République de Bulgarie, signé à Sofia, le 2 novembre 2011.",2012-12-11
DECRET PRESIDENTIEL n° 12-413 — portant transfert de crédits au budget de fonctionnement du ministère de l'intérieur et des collectivités locales.,2012-12-11
DECRET PRESIDENTIEL n° 12-414 — portant transfert de crédits au budget de fonctionnement du ministère des affaires étrangères.,2012-12-11
DECRET EXECUTIF n° 12-421 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2012.,2012-12-12
DECRET EXECUTIF n° 12-422 — portant virement de crédits au sein du budget de fonctionnement du ministère de la justice.,2012-12-12
ARRETE — modifiant l'arrêté du 25 Moharram 1434 correspondant au 9 décembre 2012 fixant la forme et les caractéristiques techniques du bulletin de vote à utiliser pour l'élection en vue du renouvellement de la moitié des membres élus du Conseil de la Nation.,2012-12-15
ARRETE — portant désignation des membres et secrétaires des bureaux de vote en vue du renouvellement de la moitié des membres élus du Conseil de la Nation.,2012-12-15
ARRETE — rendant obligatoire la méthode de détermination de l'indice d'acide et d'acidité des corps gras d'origine animale et végétale.,2011-08-21
ARRETE — fixant la liste nominative des membres du conseil d'orientation de l'agence nationale de promotion du commerce extérieur.,2012-03-06
DÉCRET PRÉSIDENTIEL n° 13-216 — portant attribution de la médaille de l'Ordre du mérite national au rang de « Achir »,2013-06-16
DÉCRET EXÉCUTIF n° 13-214 — complétant le décret exécutif n° 95-173 du 25 Moharram 1416 correspondant au 24 juin 1995 fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-080 intitulé «Fonds national d'aide à la pêche artisanale et à l'aquaculture »,2013-06-09
DÉCRET EXÉCUTIF n° 13-215 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2013,2013-06-15
DÉCRET EXÉCUTIF n° 13-217 — portant règlement intérieur type de l'assemblée populaire de wilaya,2013-06-18
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions d'une chef d'études à la Présidence de la République,2013-06-05
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions du doyen de la faculté des sciences humaines et des sciences sociales à l'ex-université de Constantine,2013-06-05
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions de sous-directeurs au ministère de la pêche et des ressources halieutiques,2013-06-05
DÉCRET PRÉSIDENTIEL n° — mettant fin aux fonctions d'un sous-directeur à la Cour des comptes,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination à la Présidence de la République,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination de la secrétaire générale de l'université d'Alger 2,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un vice-recteur à l'université de Constantine 3,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination du secrétaire général de l'université de Constantine 3,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination du doyen de la faculté des sciences humaines et des sciences sociales à l'université de Constantine 2,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination à l'université d'Adrar,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination d'un sous-directeur au ministère de la pêche et des ressources halieutiques,2013-06-05
DÉCRET PRÉSIDENTIEL n° — portant nomination du directeur de la chambre de wilaya de pêche et d'aquaculture à Alger,2013-06-05
LOI n° 17-10 — complétant l'ordonnance n° 03-11 du 27 Joumada Ethania 1424 correspondant au 26 août 2003 relative à la monnaie et au crédit.,2017-10-11
DÉCRET PRÉSIDENTIEL n° 17-262 — portant organisation de l'administration centrale du ministère des affaires étrangères.,2017-10-04
DÉCRETS PRÉSIDENTIELS — mettant fin aux fonctions de walis délégués.,2017-07-13
DÉCRETS PRÉSIDENTIELS — mettant fin aux fonctions de secrétaires généraux de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du chef de cabinet du wali de la wilaya de Saïda.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions d'inspecteurs généraux de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de secrétaires généraux de circonscriptions administratives de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de chefs de daïras de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de directeurs de la réglementation et des affaires générales de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions de directeurs de l'administration locale de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du directeur du tourisme et de l'artisanat à la wilaya de Constantine.,2017-07-16
DÉCRETS PRÉSIDENTIELS — portant nomination de secrétaires généraux de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL — portant nomination de secrétaires généraux de circonscriptions administratives de wilayas.,2017-07-16
DÉCRET PRÉSIDENTIEL n° — portant acquisition de la nationalité algérienne.,2017-10-02
LOI n° 18-06 — du 25 Ramadhan 1439 correspondant au 10 juin 2018 modifiant et complétant l'ordonnance n° 66-155 du 8 juin 1966 portant code de procédure pénale.,2018-06-10
LOI n° 18-07 — du 25 Ramadhan 1439 correspondant au 10 juin 2018 relative à la protection des personnes physiques dans le traitement des données à caractère personnel.,2018-06-10
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions de chargé d'études et de synthèse aux services du Premier ministre (M. Nassim Sbia),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions de chargé d'études et de synthèse aux services du Premier ministre (M. Fouad Belkessam),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions du directeur général des douanes (M. Kaddour Bentahar),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions du commissaire à l'énergie atomique (M. Mohamed Derdour),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions de recteur de l'université d'Oum El Bouaghi (M. Ahmed Bouras),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions de recteur de l'université de Constantine 3 (M. Hosni Boukerzaza),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions du secrétaire général du ministère de l'industrie et des mines (Mme. Rabéa Kharfi),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions du chef de la division du développement des infrastructures industrielles et logistiques et des pôles industriels au ministère de l'industrie et des mines (M. Kheir-Eddine Medjoubi),2017-11-22
"Décret présidentiel n° 3 Rabie El Aouel 1439 — Mettant fin aux fonctions du secrétaire général à l'ex-ministère de l'aménagement du territoire, du tourisme et de l'artisanat (M. Ahmed Kaci Abdallah)",2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination de recteurs d'universités (Mme. Farida Hobar et M. Ahmed Bouras),2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination de recteurs d'universités (MM. Berrezoug Belgoumane et Youcef Hamidi),2017-11-22
"Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination du secrétaire général du ministère de la poste, des télécommunications, des technologies et du numérique.",2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination du secrétaire général du ministère de la jeunesse et des sports.,2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination du secrétaire général du ministère de l'industrie et des mines.,2017-11-22
Décret présidentiel n° 3 Rabie El Aouel 1439 — Portant nomination du secrétaire général du ministère du tourisme et de l'artisanat.,2017-11-22
"Arrêté interministériel n° — du 12 Ramadhan 1439 correspondant au 28 mai 2018 modifiant l'arrêté interministériel du 2 Ramadhan 1432 correspondant au 2 août 2011 fixant les effectifs par emploi, leur classification et la durée du contrat des agents exerçant des activités d'entretien, de maintenance ou de service, au titre de la direction générale des douanes.",2018-05-28
"Arrêté n° — du 24 Chaâbane 1439 correspondant au 10 mai 2018 portant approbation des plans d'aménagement touristique des zones d'expansion et sites touristiques « Barrage Ksob Source Belaibi », « Bou Saâda » et « Maâdid » dans la wilaya de M'Sila.",2018-05-10
Arrêté n° — du 8 Ramadhan 1439 correspondant au 24 mai 2018 portant approbation du plan d'aménagement touristique de la zone d'expansion et site touristique de « Temacine » wilaya de Ouargla.,2018-05-24
Arrêté n° — du 8 Ramadhan 1439 correspondant au 24 mai 2018 portant approbation du plan d'aménagement touristique de la zone d'expansion et site touristique de « Marsat El Hadjadj » wilaya d'Oran.,2018-05-24
Arrêté n° — du 24 Chaâbane 1439 correspondant au 10 mai 2018 portant création des commissions administratives paritaires compétentes à l'égard des corps des fonctionnaires du ministère de l'environnement et des énergies renouvelables.,2018-05-10
Arrêté n° — du 24 Chaâbane 1439 correspondant au 10 mai 2018 portant composition des commissions administratives paritaires compétentes à l'égard des corps des fonctionnaires du ministère de l'environnement et des énergies renouvelables.,2018-05-10
Arrêté n° — du 24 Chaâbane 1439 correspondant au 10 mai 2018 fixant la composition de la commission de recours compétente à l'égard des corps des fonctionnaires du ministère de l'environnement et des énergies renouvelables.,2018-05-10
DECRET PRESIDENTIEL n° 18-180 — portant désignation de deux membres du Conseil constitutionnel.,2018-07-03
DECRET PRESIDENTIEL n° 18-181 — relatif à la publication de la composition nominative du Conseil constitutionnel.,2018-07-03
DECRET EXECUTIF n° 18-167 — portant déclaration d'utilité publique l'opération relative à la réalisation de zones industrielles dans certaines wilayas.,2018-06-26
DECRET EXECUTIF n° 18-168 — portant déclassement de parcelles de terres agricoles affectées pour la réalisation de zones industrielles dans certaines wilayas.,2018-06-26
"DECRET EXECUTIF n° 18-169 — modifiant et complétant le décret exécutif n° 16-163 du 26 Chaâbane 1437 correspondant au 2 juin 2016 fixant les modalités de fonctionnement du compte d'affectation spéciale n° 302-124 intitulé « Fonds national d'appui au développement des PME, d'appui à l'investissement et de la promotion de la compétitivité industrielle ».",2018-06-26
